2 Men 4 Soul ,Spread Your Love ,Electronic ,Italy ,Irma Casa di Primordine ,12 - 33 RPM,Acid Jazz T - Parte 2,7 €,1996,,,
A Taste Of Honey ,Another Taste,Funk / Soul ,US,Capitol Records ,12 - 33 RPM ,Funky LP,5 €,1979,,,
A.K.A,Warning,Electronic,Italy,Drohm,12 - 33 RPM,Contemporary Dance,1.30 €,1996,,,
Aaliyah,Got To Give It Up,Electornic, Hip Hop ,UK,Atlantic,12 - 33 RPM,Contemporary Dance,9,1996,,,
Africa Djolé,Kaloum,Folk, World & Country,Germany,FMP,12 - 33 RPM,Afro Brasil A,10€,1980,,,
Africa Djolé,Percussion Music From Africa,Folk, World & Country,Germany,FMP,12 - 33 RPM,Afro Brasil A,14€,1978,,,
African Head Charge,My Life In A Hole In The Ground,Electronic, Reggae,UK,On-U Sound,12 - 33 RPM,Afro Brasil A,19€,1981,,,
African Suite ,African Suite ,Electronic, Funk / Soul ,Canada ,MCA Records ,12 - 33 RPM ,Funky LP,27 €,1980,,,
Afrique,Soul Makossa,Funk / Soul, Blues,US,Mainstream Records,12 - 33 RPM,Afro Brasil A,14€,1973,,,
Airto Moreira ,Latino / Aqui Se Puede,Jazz - Latin - Funk / Soul ,Puerto Rico ,Sobocode Records,12 - 33 RPM,Afro Brasil M,15 €,1984,,,
Airto Moreira ,Fingers,Jazz, Latin ,US,CTI Records,12 - 33 RPM,Afro Brasil M,10 €,1973,,,
Airto Moreira ,Brazillian Heatwave ,Jazz - Latin - , Folk, World & Country ,US,Accord,12 - 33 RPM,Afro Brasil M,15 €,1982,,,
Airto Moreira ,I'm Fine How Are You? ,Jazz - Latin ,Argentina ,Music Hall,12 - 33 RPM,Afro Brasil M,ND,1978,,,
Airto Moreira ,Touching You… Touching Me,Jazz - Latin ,US,Warner Bros. Records ,12 - 33 RPM,Afro Brasil M,15 €,1979,,,
Al Di meola ,Sequencer (Special 12 Mixes),Electronic - Jazz,US,Columbia,12 - 45 RPM,Fusion Jazz D,4 €,1984,,,
